net,length_um
_02693_,2581.62
_08321_,2555.565
_08598_,2523.365
_08588_,2503.73
_09486_,2245.04
_08430_,2241.295
_09413_,2229.64
_10183_,2176.07
_03268_,2171.08
_02710_,2161.89
_08608_,2150.65
net134,2147.59
_09893_,2138.03
_03349_,2116.525
_09414_,2084.67
net151,2067.7
_03523_,2058.2
_03329_,2048.06
_09477_,2042.11
_09662_,2033.8
net104,2022.9
_09581_,2022.74
_08611_,1968.05
_09890_,1967.73
_10027_,1948.22
_08458_,1937.11
_09773_,1926.23
_08560_,1919.52
_03411_,1916.39
_03376_,1909.155
_09434_,1906.865
_08596_,1869.36
_09841_,1867.44
_09401_,1847.21
_03403_,1842.06
_08751_,1835.07
_09688_,1833.605
_09897_,1827.76
_10245_,1827.46
_08388_,1825.045
_09590_,1821.85
_03265_,1818.39
net83,1816.4
_09410_,1815.07
net96,1805.44
_08856_,1803.65
_08933_,1797.57
net30,1793.9
_09938_,1793.6
_09807_,1785.39
_09839_,1784.355
_09954_,1781.65
_08420_,1780.04
_08461_,1779.8
_09844_,1770.52
_09898_,1763.4
_09694_,1759.56
_09730_,1756.41
_08628_,1754.28
_09576_,1750.45
_09045_,1748.55
_10499_,1746.97
_08494_,1746.25
_09399_,1742.28
_09850_,1739.92
_09632_,1738.645
_09080_,1738.56
_03294_,1735.43
net123,1734.21
_08444_,1733.285
_09077_,1729.57
_03619_,1729.2
net36,1723.85
_09431_,1717.86
_09717_,1717.36
_09707_,1716.75
_09810_,1699.495
_10516_,1699.43
_09422_,1691.16
_08606_,1686.72
_09519_,1682.07
_08601_,1674.49
_09386_,1671.35
_08794_,1668.85
_09734_,1666.08
_09505_,1659.91
_08447_,1636.96
_09599_,1633.6
_08823_,1632.04
_10126_,1630.67
_09408_,1628.93
_08591_,1626.35
_06908_,1624.79
_09822_,1605.43
_07541_,1603.37
_08860_,1590.51
_08451_,1588.52
_09710_,1586.975
_03324_,1583.31
_03538_,1575.63
_03286_,1574.135
_09103_,1573.38
_10016_,1570.84
_09603_,1570.805
_09781_,1557.83
_10002_,1556.72
_09587_,1547.03
_09674_,1544.01
_08291_,1541.37
_09385_,1534.36
_08529_,1533.075
_12641_,1532.87
_08593_,1527.65
_09428_,1520.125
_08861_,1516.68
_09433_,1512.56
_08722_,1509.85
_09542_,1508.69
_03328_,1505.305
_08454_,1500.31
_09395_,1496.46
_09503_,1493.12
_09592_,1493.04
_09589_,1491.65
_03378_,1486.44
_09811_,1483.42
_08937_,1481.46
_09390_,1478.185
_03456_,1476.62
_03368_,1475.925
_08323_,1475.38
_08419_,1475.05
_08475_,1474.19
_09495_,1467.33
_09894_,1467.01
_09525_,1460.29
net144,1457.47
net100,1456.58
_09593_,1456.32
_09675_,1455.72
_08416_,1454.235
_10513_,1452.83
net87,1450.41
_08324_,1442.935
_08583_,1442.3
_09918_,1439.16
_09488_,1438.64
_03497_,1437.96
_08717_,1429.69
_02707_,1426.06
_08385_,1426
_09902_,1425.075
_09193_,1423.615
